emotion,sentence
Anger,"I wouldn't ask your father, but your mother would, I'm sure, be up in arms."
Disapproval,There has been  a tendency to run down the role of the European nobility in the wars so characteristic of the late Middle Ages.
Ambiguous,"Whether such prohibitions would meet the requirements of the situation as far as society is concerned is a moot point, but it is worth considering."
Neutral,There was nothing doing.
Surprise,She returned with a bravado somewhat at odds with the way she was feeling.
Optimism,"Shortly afterwards, an olive branch came from the County Hospital."
Neutral,"Obviously this needs to be done without undue pressure; hammering is out of the question, and the stakes must not be broken."
Neutral,Pick holes in the other person's ideas.
Aggression,An even longer running battle was fought in the royal dockyards.
Remorse,"His jockey Steve Raymont was just looking after an inexperienced horse, but I suppose it's water under the bridge now."
Fear,"And major sponsors of the Renault-Williams team, caught in the crossfire of the bitter battle between the world champion and his team boss Frank Williams, are in a panic."
Neutral,Clear the air as you drive.
Surprise,Why were the prophets so dead set against mediumship?
Anger,"But before you know it, you're right in there hammer and tongs, defending yourself against an onslaught of outrage and invective."
Submission,"Right now Mr Hussein finds it convenient to pose as a conciliator prepared to grant autonomy to the Kurds he has displaced and, in relations with the rest of the world, to let bygones be bygones."
Disapproval,If the child is behaving well or playing quietly the typical parental attitude is let sleeping dogs lie.
Submission,"The Treasury and the Ministry of Aviation, now run by Julian Amery, Macmillan's son-in-law, remained at loggerheads as the issue moved to full Cabinet on Guy Fawkes Day 1962."
Contempt,There was no love lost between Mazur and his boss Bonni Tischler.
Neutral,He had better things to do than argue the toss.
Anger,"Journalists woke him up in his bed with the news and, as I suspected, all hell broke loose."
Joy,"In the battle of wills, as well as the battle of resources, the Soviet Union has cards to play."
Disapproval,"Point Three, the main bone of contention between the two sides, led to the total demilitarization of the Black Sea."
Disapproval,I ought to call your bluff.
Anger,"After all, football left leather behind long ago, but I expect cricketers will be up in arms about this suggestion"
Anger,Now will you please get off my back.
Remorse,"His earlier black mood, the brooding silences, seemed to be at an end."
Anger,However I did get a bit cheesed off with the movie's rather plodding pace.
Anger,"Wake up, Cati, for crying out loud."
Neutral,"We must cut it out, before it spreads."
Anger,"Yeah, yeah, don't get your knickers in a twist, it's in one piece."
Disapproval,"Dolan, in the meantime, has been told to give it a rest otherwise the upcoming European tour will have to be called off."
Anticipation,The share price should go through the roof.
Disapproval,Its supporters are having a good riddance to Quebec attitude which must be purged.
Disapproval,But the Tories would be unwise to harp on about Mr Kinnock's.
Fear,The reviewer is likely to get hot under the collar if a personal favourite has been left out and can easily end up merely drawing up a rival selection.
Neutral,"Mind your own business, is going to be a very tiring day."
Neutral,This time there was no Balestre to rant and rave.
Anger,Black outlook is making us see red.
Disapproval,"Make no mistake, Wright's short fuse is a serious business and if Graham is to lose a top player through suspension, on top of all the headlines on his ill-discipline, the Arsenal manager may soon wonder if he is worth the trouble."
Disgust,Mark said that when the Raja saw the damage he was wearing glasses which steamed up a bit.
Aggression,"Scathach had impaled it from behind, the point going too far and penetrating Tallis."
Anger,"The small independent bakers, already affected by the supermarket bakeries, see this as the last straw."
Disapproval,Bated breath leads to web of intrigue.
Neutral,Don't hold your breath.
Optimism,Nerves of steel help if you want to be successful in media buying.
Surprise,"My head roared with neon pins and needles, at once visual and sensual."
Neutral,He was very naturally scared stiff of using up all his remaining petrol and making a bad landing.
Anticipation,"Louis was reconstituting the royal family, keeping his adult sons on tenterhooks."
Ambiguous,Speculation about his Leeds' future reached fever pitch when he was not even on the bench for last week's Coca-Cola Cup tie at Scunthorpe.
Anticipation,"McAllister turned off the gas ring, blew out the match, and walked to the front door, grumbling to herself, hold your horses, I'm coming, I'm coming, when another urgent series of knocks sounded."
Anticipation,I've kept myself fit and I was raring to go.
Sadness,"It was depressing to think of Sien and the children he had left to fend for themselves, depressing too to remember that Theo was having to bear the brunt of his trouble as always."
Sadness,"The thing with Minneapolis was that everyone was bored to tears, so we just made a scene."
Neutral,"It is important, however, to have a source of money close to home."
Optimism,"Deep down inside, you see, I still believed that life was basically benevolent."
Neutral,But the senior bankers are fish out of water when it comes to international lending.
Love,Now don't get worked up again.
